Filesystem	Size	Used
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aneznamov/d2ff0062-9549-4d2d-9d3e-ab2f32fa0a7c	239G	33G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aparemskaia/dccd7c8d-21b0-49ad-82af-2622812210a9	239G	3.9G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dsyrko/ca03d4b5-5f93-440e-969a-7b6fea82b107	239G	6.2G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/eleboshchina/ea94c555-b9f4-455b-85e8-f209647ceb55	239G	58G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/eslizhevskaya/efe35c01-c8ac-430b-820b-ac0538445efe	239G	28G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/erakhimova/1352d5a4-c0b2-4060-9824-9c8d074466e6	239G	199G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/nyusupova/3e5ee0a2-c7b7-44e9-94f4-573efaffd50b	239G	31G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/obelyankina/2c020119-64bc-42e6-984d-9b68463af704	239G	158G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/vkryshkova/e3f308a8-932a-4820-8ae4-90422f4e25a5	239G	30G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/vpogosyan/303696ac-d11e-4e2e-ada6-29d791a70dce	239G	29G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/svorokova/9c03efc0-992f-4f95-8310-a9853cbfe9f2	239G	135G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/vkoss/7943bfaf-fb3c-4274-a26a-e77761d32545	242G	153G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/placenta_sc/0993c46e-f4ef-44b4-a70c-32f78a2c9ce1	932G	455G
tmpfs	76G	0
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/alzheimer_bcr/3b7d8166-9fcb-4820-8d14-2312d9fbda54	233G	113G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/gsharonov/04e4bb9f-3596-4130-bf51-3e4b43060659	239G	15G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/msdata/e953fe2d-4f6b-4755-9946-dacad313b446	932G	911G
tmpfs	76G	0
/dev/loop17	56M	56M
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/onikolaev/e3206dad-9c83-437b-be8a-f4b143b82ebc	239G	104G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/klupyr/0f60d282-2e91-4d39-8076-37816dc90c8d	1.3T	1.1T
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akozhemova/7b5cec25-7a5f-4c44-be5a-c4e2f9aecca2	332G	235G
tmpfs	76G	0
/dev/loop15	74M	74M
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/jtkachenko/88f0f65b-db25-454c-aae7-c0945db00710	239G	59G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/rat_gravitation/33a76d5d-61f4-4f1c-b7c4-be4756245ca9	14T	1.5T
/dev/loop19	186M	186M
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/vrozynka/57cd8ba3-0505-4c7f-80b9-b6b57699751b	239G	39G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dluppov/6d7fc43b-3f7a-4406-9043-ccea7270eaf5	477G	425G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/mshugay/8b649768-6e1c-4c64-98ab-6990b4bbf10d	239G	47G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/kugriumov/9c0a6f87-7b91-4e3e-a4ac-49b30f45d7d2	239G	39G
/dev/loop1	56M	56M
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
